                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1393,                 3.8976,                 1.6351,                0.00859,                0.45082,                 0.1043,                0.05513,                 1.0551,                  3.529,                 1.0992,              8.335e-05,              8.335e-05,              8.335e-05
                      2,                 1.5161,                 3.4272,                 1.2525,                0.01457,                0.83607,                0.49732,                0.38299,                0.94289,                 3.2876,                0.97402,             0.00018276,             0.00018276,             0.00018276
                      3,                 1.0306,                 1.5567,                0.95008,                0.98769,                0.32472,                0.50157,                0.33561,                0.88351,                 2.7561,                0.89634,             0.00028152,             0.00028152,             0.00028152
                      4,                0.97163,                 1.1411,                0.94587,                0.01688,                 0.9918,                0.49426,                0.34869,                0.79381,                 2.8376,                 0.8995,             0.00037961,             0.00037961,             0.00037961
                      5,                0.96216,                 1.1375,                0.93532,                0.01239,                0.70492,                0.42867,                0.27637,                0.86047,                 3.1623,                 1.0065,             0.00047705,             0.00047705,             0.00047705
                      6,                0.94371,                 1.0509,                0.92157,                      1,                0.06288,                0.44781,                0.31318,                0.80396,                 2.7937,                0.91932,             0.00057382,             0.00057382,             0.00057382
                      7,                0.86881,                 0.9481,                0.91168,                0.01408,                0.81967,                0.13677,                0.10037,                0.92404,                 2.8728,                 0.9563,             0.00066994,             0.00066994,             0.00066994
                      8,                0.88431,                0.93624,                0.91601,                      1,                0.17883,                0.57526,                0.44618,                0.74098,                 2.5891,                0.90425,             0.00076539,             0.00076539,             0.00076539
                      9,                0.88146,                0.89706,                0.91877,                      1,                0.37492,                0.74828,                0.61138,                0.70765,                 2.3491,                0.92509,             0.00086019,             0.00086019,             0.00086019
                     10,                0.86404,                0.90426,                0.92745,                      1,                 0.3915,                0.80022,                 0.6707,                0.69981,                 2.3716,                0.93408,             0.00095432,             0.00095432,             0.00095432
                     11,                0.79765,                0.86338,                 0.9442,                0.99145,                    0.5,                0.98214,                 0.7484,                0.87696,                 1.9121,                 1.0161,              0.0010478,              0.0010478,              0.0010478
                     12,                0.80378,                0.79982,                0.92475,                      1,                0.46992,                0.93787,                0.75381,                0.74411,                 2.1551,                0.94584,              0.0011406,              0.0011406,              0.0011406
                     13,                  0.819,                0.81589,                0.92924,                 0.9914,                0.46846,                0.84479,                0.71131,                0.72335,                 2.2267,                0.94973,              0.0012328,              0.0012328,              0.0012328
                     14,                0.83161,                0.77535,                0.92862,                0.98243,                0.75697,                0.99468,                0.80661,                0.74695,                 1.3839,                0.97101,              0.0013243,              0.0013243,              0.0013243
                     15,                0.82306,                0.69958,                0.91936,                0.97925,                0.93197,                0.99476,                0.81577,                 0.7071,                 1.2027,                0.97587,              0.0014151,              0.0014151,              0.0014151
                     16,                0.79655,                0.73552,                0.91844,                0.97796,                0.97998,                0.99306,                0.83068,                0.70078,                 1.2564,                0.93379,              0.0015053,              0.0015053,              0.0015053
                     17,                0.73964,                0.82258,                0.90376,                0.97793,                0.97864,                0.99492,                0.84198,                 0.6822,                  1.266,                0.91599,               0.001579,               0.001579,               0.001579
                     18,                0.76473,                0.71947,                0.91977,                0.98236,                      1,                  0.995,                0.82319,                0.69087,                0.83327,                0.91096,              0.0015735,              0.0015735,              0.0015735
                     19,                 0.7644,                0.72901,                0.91053,                0.98646,                      1,                  0.995,                0.84532,                0.65435,                0.79249,                0.90993,               0.001568,               0.001568,               0.001568
                     20,                0.77372,                0.69216,                0.91914,                0.98684,                      1,                  0.995,                0.82807,                 0.6773,                0.73098,                0.92417,              0.0015625,              0.0015625,              0.0015625
                     21,                0.78256,                0.68921,                0.92749,                0.98378,                      1,                  0.995,                 0.8188,                0.67023,                0.73252,                0.93268,               0.001557,               0.001557,               0.001557
                     22,                0.78616,                0.65558,                0.92084,                0.97608,                      1,                0.99492,                0.82747,                0.70041,                0.71334,                0.95685,              0.0015515,              0.0015515,              0.0015515
                     23,                0.72878,                0.62851,                0.88151,                0.97829,                      1,                  0.995,                0.84246,                0.63952,                0.68469,                0.91055,               0.001546,               0.001546,               0.001546
                     24,                0.71877,                0.61613,                0.90774,                0.99783,                      1,                  0.995,                0.86348,                0.60478,                 0.5831,                0.89986,              0.0015405,              0.0015405,              0.0015405
                     25,                0.72793,                 0.6305,                0.90184,                0.99466,                      1,                  0.995,                0.85415,                0.61391,                0.57035,                0.89691,               0.001535,               0.001535,               0.001535
                     26,                0.75878,                0.66845,                0.88722,                0.98772,                      1,                  0.995,                0.84842,                0.58176,                0.64385,                0.89686,              0.0015295,              0.0015295,              0.0015295
                     27,                0.72475,                0.62526,                0.89607,                0.99571,                      1,                  0.995,                0.84179,                0.65088,                0.61646,                0.91685,               0.001524,               0.001524,               0.001524
                     28,                0.69035,                0.62707,                0.87832,                0.99754,                      1,                  0.995,                0.84701,                0.61974,                0.52786,                0.90203,              0.0015185,              0.0015185,              0.0015185
                     29,                 0.7003,                0.62522,                0.89086,                0.99676,                0.99927,                  0.995,                0.85893,                 0.6151,                0.53829,                0.90153,               0.001513,               0.001513,               0.001513
